Participant,Accuracy,Specialise
1,30.0,No
2,30.0,Yes
3,10.0,No
4,20.0,No
5,20.0,Yes
6,30.0,No
7,30.0,Yes
8,50.0,No
9,20.0,No
10,70.0,No
11,20.0,No
12,10.0,No
13,20.0,No
14,40.0,No
15,30.0,Yes
16,20.0,No
17,80.0,No
18,90.0,No
19,30.0,No
20,40.0,No
21,10.0,No
22,80.0,No
23,20.0,No
24,60.0,No
25,10.0,No
26,30.0,No
27,40.0,No
28,10.0,No
29,50.0,No
30,20.0,No
31,20.0,No
32,70.0,No
33,60.0,No
34,50.0,No
35,30.0,No
36,30.0,No
37,10.0,No
38,30.0,No
39,40.0,Yes
40,20.0,Yes
41,20.0,No
42,10.0,No
43,50.0,No
44,20.0,No
45,30.0,No
46,10.0,No
47,30.0,No
48,30.0,No
49,30.0,No
50,10.0,No
51,20.0,Yes
52,10.0,No
53,30.0,No
